Perfil,Mujer_45-64_%,Hombre_45-64_%,Mujer_35-44_%,Hombre_35-44_%,Mujer_25-34_%,Hombre_25-34_%,Mujer_18-24_%,Hombre_18-24_%,Mujer_13-17_%,Hombre_13-17_%,Geografica_%
nategentile7,0.14,1.08,0.33,6.19,1.58,33.02,1.89,48.98,0.36,6.39,22.54
abelm.g,17.52,4.54,23.59,7.56,29.2,5.55,10.33,1.01,0.45,0.25,44.26
mikeyfdez,4.61,2.58,11.96,8.09,30.57,10.78,23.54,3.66,3.82,0.38,60.94
const_ruyendocasas,2.5,11.19,4.55,25.53,6.64,37.1,2.74,9.15,0.16,0.41,80.66
evahdealba,9.89,1.24,32.37,2.05,36.58,2.96,11.55,0.73,2.13,0.28,71.4
letrasdecoloresoficial,1.88,0.7,5.02,1.77,24.12,5.86,42.59,5.72,11.47,0.82,24.76
isartvlog,3.68,0.73,12.61,1.61,34.66,5.11,31.99,3.76,5.14,0.7,44.62
gemelosviajeros,2.06,2.51,5.28,8.19,15.93,21.25,14.29,22.42,3.2,4.88,30.77
sezarblue,1.58,4.56,3.67,14.34,9.34,37.57,6.0,20.54,0.56,1.83,83.36
renancupcakes,10.58,3.48,18.83,7.7,28.73,12.84,11.09,4.87,1.34,0.45,34.87
giorgiasilvestrii,0.38,10.11,1.47,22.56,6.66,33.8,7.23,13.56,1.75,2.4,2.19
verdeliss,3.62,0.39,10.23,0.88,37.9,2.84,35.3,2.61,5.86,0.37,60.26
cesarsway,8.9,3.05,15.57,6.93,29.71,12.71,14.83,5.54,1.86,0.74,4.7
farmaceuticofernandez,1.79,0.88,6.22,3.95,24.59,16.04,24.14,17.48,2.91,2.01,66.06
juanjobricks,0.93,31.34,1.19,38.74,3.06,21.31,0.85,2.21,0.17,0.0,41.73
epicraybacon,0.34,1.11,1.15,6.27,6.0,32.33,5.67,39.1,0.95,7.08,24.59
davidbisbal,6.44,1.44,15.2,4.63,34.47,8.83,19.65,5.48,2.86,0.91,27.05
andres_sile,0.37,1.13,4.87,11.8,22.72,35.24,12.03,9.47,1.55,0.83,45.67
cris_tortu,0.87,7.52,2.1,23.5,7.1,38.83,4.83,13.64,0.52,1.08,70.66
oscar_casas_,0.65,0.17,4.92,0.97,37.44,4.96,40.18,4.74,5.56,0.42,29.06
pilarrubio,2.5,3.75,6.46,9.69,15.33,27.59,11.37,19.1,1.71,2.44,28.1
orianaccesorios,7.52,1.34,20.72,3.36,43.54,3.9,16.34,0.95,2.29,0.04,10.11
andresperfumeman,1.53,5.09,4.4,20.79,7.86,41.28,2.65,15.05,0.26,1.06,9.35
nonaspinola,4.74,1.03,19.44,2.06,37.75,5.8,18.89,7.17,1.99,1.07,71.31
mishoamoli,0.25,1.18,1.1,6.94,8.3,34.15,8.39,34.41,1.22,4.04,23.26
elesky,0.35,1.49,0.98,10.16,5.99,41.96,6.32,29.33,0.85,2.57,53.29
sorpresasdivertidas,4.13,1.17,9.86,1.19,28.18,2.6,33.88,2.63,15.73,0.63,17.91
imagus51,0.16,0.53,0.53,2.02,4.36,18.05,7.48,51.3,1.78,13.79,40.96
alexiaputellas,0.44,2.15,2.07,8.87,11.86,31.85,12.63,24.96,2.41,2.74,26.09
alebuitragoh,0.51,3.84,5.51,13.69,24.07,26.15,12.84,10.97,1.53,0.9,1.69
topesdegama,0.25,2.24,0.97,11.25,4.32,40.98,2.86,34.24,0.46,2.43,19.05
hugo_pesquera,8.89,3.31,18.04,6.84,32.31,9.26,15.58,3.23,1.74,0.69,63.06
