Perfil,Medioambiental,Social,Reconocimiento
abelm.g,True,True,True
alebuitragoh,True,True,False
alexiaputellas,False,True,False
andres_sile,True,False,False
andresperfumeman,False,True,False
cesarsway,True,True,False
const_ruyendocasas,True,False,False
cris_tortu,True,True,False
davidbisbal,True,True,False
elesky,False,True,False
epicraybacon,False,True,False
evahdealba,True,True,False
farmaceuticofernandez,True,True,False
gemelosviajeros,True,True,False
giorgiasilvestrii,False,True,False
hugo_pesquera,True,True,False
imagus51,False,True,True
isartvlog,True,True,False
juanjobricks,True,False,True
letrasdecoloresoficial,True,True,False
mikeyfdez,True,True,False
mishoamoli,False,True,False
nategentile7,True,False,False
nonaspinola,True,True,False
orianaccesorios,True,True,False
oscar_casas_,False,False,True
pilarrubio,True,True,True
renancupcakes,True,True,True
sezarblue,True,True,True
sorpresasdivertidas,True,True,True
topesdegama,False,True,True
verdeliss,True,True,True
